city,holc_id,name,holc_grade,name_location_grade_number,area_terrain,area_favorable_influences,area_detrimental_influences,inhabitants_occupation,inhabitants_income,inhabitants_foreign_pct_predominating,inhabitants_negro,inhabitants_infiltration,inhabitants_relief,inhabitants_pop_trend,buildings_type,buildings_construction,buildings_avg_age,buildings_repair,buildings_sale_rental_history,area_pct_improved,buildings_occupancy_pct,buildings_ownership_pct,buildings_sales_demand,buildings_sales_price_range,buildings_sales_activity,buildings_rental_demand,buildings_rental_price_range,buildings_rental_activity,buildings_constructed_past_yr_type_price,buildings_constructed_past_yr,mortgage_avial_home_purchase,mortgage_avial_home_building,area_desirability_trend,clarifying_remarks,information_source
East Bay,B35,NA,B,Oakland Blue B-35,Level,"Convenience to local and San Francisco transportation, local shopping centers and schools. Zoned single-family residences. Homogenous though small area of modern attractive homes which could be graded High Blue, but for detrimental influences",Small area and completely surrounded by more or less unfavorable influences,"Professional, office workers, artisans","1,800 - 3,000",no concentration N/A,no N/A,lower classes - nearby,none known,yes ,1 & 1 1/2 story detached,stucco,9 years,very good,"5,500 - 7,500 6,250 45 - 60 52.5 1933-34 3,250 - 5,500 4,000 64% 32.5 - 45 35 66.50% 1937 3,800 - 7,000 4,750 76% 37.5 - 50 40 76% 1927 102% 1927 100+%",90%,99%,90%,good,"5-rm stucco detached, 5,000",good,N/A,"5-rm stucco detached, 40",good,"6-rm detached cost 6,300 including lot, etc.",1 in 1936,ample,ample,static,"District known as the English Village. (5-g) Several new homes of 6,000 to 7,000 class now under construction in the district. The average type home, however, is somewhat less expensive. New homes have recovered in value to practically same as 1927, but the houses built in 1927, now classed as ""modern"" have not recovered so well. The homogeneousness of the architecture of this area adds to the charm, desirability and lends itself to a maximum of return for amount invested.","City of Oakland, Records of Building Inspector's Office; Ralph E. Prentice; W. B. Kyle 6/15 7"
East Bay,B36,NA,B,Oakland Low Blue B-36,Level,"Schools, recreational areas and transportation facilities local and to San Francisco, all conveniently available. Excellent climatic conditions. Nearness to local shopping district",Distance from Metropolitan center,"Professional, Jr. executives, foremen and artisans","1,800 - 3,000",no concentration N/A,no N/A,lower grades: no threat,very few, ,Bungalows: 5 and 6 rooms,frame - stucco,11 (8 to 15) years,Good: well kept,"4,500 - 5,500 5,000 40 - 50 45 1933-34 2,750 - 3,750 3,000 60% 25 - 32.5 27.5 61% 1937 3,250 - 4,250 3,750 75% 32.5 - 40 35 78% 1927 102% 1927 100+%",95%,99%,90%,good,"6-rm, 3,500",fair,none,"good: 5-rm, 35",fair,typical 1937 construction,none in 1936,ample,ample,Stable rather than static,"Homogeneous neighborhood of fairly good type, medium priced homes. Zoned first residential. Area includes the Saroni Tract. Mr. Louis Saroni (now decsd.) was formerly a speculative builder who built over one hundred homes in this area in 1925-1926. During depression, banks foreclosed many homes in this area and Mr. Saroni lost practically everything.","W. B. Kyle, Records of Building Inspector, City of Oakland; Ralph E. Prentice; County of Alameda, Assessor's Office 6/15 7"
East Bay,B37,NA,B,Oakland Blue B-37,Rolling; streets platted to minimize grade,Convenience to local and San Francisco transportation; good local shopping center and schools. Excellent climate. Attractive stucco homes of homogeneous type. Excellent view.,Distance from Metropolitan center,"Minor executives, office workers, storekeepers","1,800 - 4,000",no concentration N/A,no N/A,lower grades: no,none known,yes ,5 & 6-rm,stucco,10 years,good,"4,500 - 7,500 6,500 40 - 65 52.5 1933-34 3,500 - 5,500 4,250 66% 27.5 - 45 35 67% 1937 3,500 - 6,500 5,500 85% 32.5 - 50 42.5 81% 1927 102% 1927 100+%",40%,99%,90%,good,"5 or 6-rm home, 3,750 to 4,500",good,good,ditto - 35,good,5 and 6-rm detached,8 in 1936,ample,ample,upward,"(11) Average cost, including lot and financing, 6,500. Many residents in this area work in San Francisco because of convenient transportation. With improvement of local transportation to downtown Oakland, this district will receive much favorable activity. The homes in northern part of the area are of High Blue type and compare favorably with the homes described in B-30. Area generally known as Eighty Second Avenue Terrace, but officially known as Eastmont. Zoned first residential with prospects of higher grading.","Records of Building Inspector, City of Oakland, Ralph E. Prentice 6/15 7"
East Bay,B38,NA,B,Oakland Blue B-38,Rolling; streets platted to minimize grades and secure best exposure,"Attractive view, excellent climate; convenience to gold and country clubs. Zoned single-family residential","Distance to local and San Francisco transportation, schools and shopping center; Distance to Metropolitan areas","Professional, executives and business me","1,800 - 10,000",none known N/A,no N/A,lower grades: no,no,yes ,fine 1 and 2-story detached homes,frame and stucco,8 years,good,"9,000 - 20,000 15,000 70 - 150 110 1933-34 4,500 - 9,500 6,500 50% 40 - 65 55 50% 1937 5,500 - 12,000 7,500 58% 45 - 75 65 59% 1927 102% 1927 100+%",15%,98%,95%,fair,"7-rm home, 8,000",brisk,poor,no rental properties,poor,"8,500 singles",1 in 1936,ample,ample,upward (see attached sheet),"This district is known as Oak Knolls. It is still too sparsely settled to predict a definite trend. The area was first put on as a subdivision in 1927 and many building and loan associations placed construction loans here. A number of these loans were foreclosed during the depression period and in consequence, there was an extraordinary drop in values. Some of the more pretentious homes, selling for as little as one-third of their original cost. For these reasons, recovery of values have been slow and halting(?) in comparison with some of the older areas. There is a new highway under construction through the area at the present time and since January 1, 1937, there has been a renewed sales activity here. David D. Bohanon, a speculative builder, has purchased a large number of lots in this area and recently started a program of construction, which comtemplates the building of between three hundred and four hundred, five and six-room houses, the sale price of which will be about $4.50 per square foot, plus the price of the lot, which will average in the neighborhood of $1,000. The architecture and type of homes which already have been completed is such that if, so and when, the program is finished, it is possible that that particular portion of the area should be raised as an ""A"" Green grade. It is understood that this building activity will be largely financed with F.H.A. funds.","Walter N. Gabriel, City of Oakland Building Inspector's Office; Ralph E. Prentice 6/15 7"
East Bay,B39,NA,B,Oakland Blue B-39,Level,Homogeneous area of attractive homes. Zoned single-family residential; convenient to San Francisco transportation; fairly convenient to local transportation and local shopping centers.,"Distance to Metropolitan centers; distance to high schools, recreational centers. Proximity to automobile assembling plant, spur railroad track and consequent noises.","Business men, office workers, minor executives","2,000 - 3,500",no concentration N/A,no N/A,lower grades: no,none known,yes ,1 and 2-story detached,stucco,8 years,good,"7,000 - 10,500 8,500 60 - 90 70 1933-34 3,500 - 5,000 4,250 50% 35 - 45 35 50% 1937 4,500 - 7,000 3,750 68% 40 - 65 45 54% 1927 102% 1927 100+%",85%,99%,90%,fair,"6-rm house, 5,500",fair,fair,"5-rm house, 42",fair,"5 and 6-rm detached averaging 6,000 including lot and financing",17 in 1936,ample,ample,up for indeterminate period,"District known as Durant Manor. Was subdivided and practically built up in 1927-1928. There were many building and loan foreclosures in the area, with consequent big decline in sales prices. There has consdierable recent building activity from funds provided mainly by F.H.A. The area is zoned first residential; the industrial area immediately south, was formerly occupied by Durant Motor Company. Now is operated by the Chevorlet Motor Company as a truck assembly plant. This is considered a beneficial influence, rather than otherwise.","Edward J. Johnson of L. Johnson & Sons, City of Oakland, Building Inspector's Office; Ralph E. Prentice 6/15 7"
East Bay,B40,NA,B,San Leandro Low Blue B-40,Level,"Convenient to schools, recreational areas and transportation. Excellent climate; good local shopping easily available; uniformly large lots (homesites)",Distance from Metropolitan area.,"Professional, office workers, service workers and artisans","1,500 - 3,000",Italian & Portuguese 3%,No N/A,lower grades: no threat,very few,yes ,bungalow and 2-story homes,frame and stucco,20 years,show pride of ownership,"4,500 - 6,000 5,250 45 - 55 50 1933-34 2,750 - 4,000 3,200 63% 27.5 - 37.5 32.5 59% 1937 3,500 - 4,500 4,000 82.50% 32.5 - 45 37.5 75% 1927 102% 1927 100+%",90%,98%,90%,good,"6-rm detached, 4,000",good,good,"6-rm detached, 37.50",good,conforms to 1920-1930 design,practically none,ample,ample,Stable rather than static,"Area known as Broadmoor Park. This is a somewhat mixed area of fine, older type homes and semi-modern bungalows. Lots are large and deep and district well thought of. Zoned single-family residential, except in southern and south western parts, where there are occasional apartment houses on blocks partially zoned for multiple units. This area has been developing slowly for a number of years, but can still be classified as desirable as maintenance has been good.","Ray L. Billings, Realtor and present Mayor of San Leandro; Paul A. Pacheco, Realtor, San Leandro; City of San Leandro Building Department; Ralph E. Prentice; Edward J. Johnson. 6/15 7"
East Bay,B41,NA,B,San Leandro Low Blue B-41,Level,"Convenient to schools and local transportation; climate fair. Good local shopping, fairly convenient. Homogeneous neighborhood of modern attractive Spanish and English type homes.","Distance from metropolitan areas - south of East Fourteenth Street (Boulevard) generally considered ""less desirable"". Proximity to industrial area will tend to depreciate area as industrial activity expands.","Skilled labor, office workers","1,500 - 2,500",Latin races 2%,no N/A,no threat,very few,yes ,bungalows; Spanish and English,frame and stucco,8 years,show pride of ownership,"4,000 - 5,500 4,500 35 - 45 40 1933-34 2,500 - 3,000 2,750 61% 22.5 - 27.5 25 62.50% 1937 3,000 - 4,000 3,500 78% 27.5 - 35 30 75% 1927 102% 1927 100+%",40%,98%,85%,good,"5-rm - 3,250",fair,none,5-rm - 30,fair,"detached - 4,500",limited,limited,fair,Static,"There were many foreclosures in this area in 1932 and 1933, with consequent big decline in value. District has not recovered as rapidly as other areas north of East Fourteenth Street. Moreover, new building construction in this area has been very scarce as compared with the great activity in northeast, San Leandro. This area known as Best Manor, is zoned first residential. There is a district south of this area zoned for industry, but is as yet largely undeveloped. The Chevrolet Motor Company has a truch assembly plant at the corner of Fourteenth and Durant, but this is considered a favorable factor, rather than otherwise.","Ray L. Billings, Realtor and present Mayor of San Leandro; Paul A. Pacheco, Realtor, San Leandro; City of San Leandro Building Department; Ralph E. Prentice; Edward J. Johnson. 6/15 7"
East Bay,B42,NA,B,San Leandro High Blue B-42,"Level with small stream, San Leandro Creek, running through area, which adds to charm of neighborhood and lends itself to landscaping. Homes surrounded by shade trees and small orchards.","Schools and recreational areas conveniently located. Nearness to good local shopping center. Transportation fair, to good.",Distance from Metropolitan business district,Executives and high grade office workers,"2,500 - 4,000",No concentration N/A,no N/A,undesirables: remote,none,yes ,modern single-family detached,stucco predominates,3 (new to 15) years,good,"6,750 - 7,400 7,000 50 - 65 57.5 1933-34 4,500 - 5,500 5,000 71.50% 40 - 45 42.5 74.50% 1937 6,750 - 7,400 7,000 100% 45 - 60 52.5 91% 1927 102% 1927 100+%",50%,93%,95%,good,"6-rm detached, 6,500",good,good,"6-rm detached, 52.50",good,"6-rm single-family, 6,500",about 100 new homes,ample,ample,upward,"Area consists of Estudille Estates, Bancroft Gardens, Broadmoor Park. High degree of maintenance of both improvements and grounds. Estudille Estates, south of San Leandro Creek is a new districtand there was practically no development prior to 1930. Many F.H.A. and California Veterans' Administration loans in this area. This area promoted in 1930 and 1931 had a high percent of foreclosure; all this acquired property now liquidated to north and west of San Leandro Creekl the area was built up over ten years age. Very few sales in 1933 and practically no homes rents. Zoned first residential. North and east of this area is a vacant tract which is now being platted and improved for a subdivision, which when occupied, will undoubtedly be a High Blue. This area has great charm and one of the most active sections of East Bay area. It may easily develop in an ""A"" Low Green area.","Ray L. Billings, Realtor and present Mayor of San Leandro; Paul A. Pacheco, Realtor, San Leandro; City of San Leandro Building Department; Ralph E. Prentice; Edward J. Johnson. 6/15 7"
East Bay,B43,NA,B,"Alameda, California High Blue B-43",Level,"Excellent climate and proximity to San Francisco Bay Beach; convenience to schools, local and San Francisco transportation and local shopping center. Mansion type homes, zoned single-family residential.","Many homes show age. Mixture of old and new, fine homes (except for these detrimental influences, area would warrant Green rating, as the most valuable homes in Alameda are located here).","Retired capitalists, business men and executives","3,500 - 15,000",no concentration N/A,no N/A,lower grades: no,no, yes,"mansion, single-family detached","frame, stucco",22 years,very good,"7,500 - 25,000 13,500 65 - 125 120 1933-34 5,000 - 12,500 8,000 59% 45 - 90 70 58% 1937 6,500 - 15,000 9,500 70+% 60 - 100 85 71% 1927 102% 1927 100+%",98%,99%,95%,good,"8-rm home, 10,000",poor,poor,"8-rm home, 75",poor,mansion type,"1 at 11,000 including lot",ample,limited,static,"Many of the wealthiest families in Alameda live in this area; retired capitalists, etc. (5-g) Occasionally in this area an old home is wrecked and on its site a fine new home is built. However, families are getting saller and in general, population is decreasing. (9 and 10) Selling and rental activity small because of scarcity of rental properties. Area formerly known as Oak Park. However, now this name has little significance.","Ralph E. Prentice, John F. Ward, Realtor, 2333 Santa Clara Avenue, Alameda; E. H. Rogers, Building Inspector, City of Alameda; P. D. Courneed, V. P. Oakland Federal Savings and Loans Association 6/15 7"
East Bay,B44,NA,B,"Alameda, California High Blue B-44",Level,"Excellent climate and proximity to San Francisco Bay Beach; convenient to local and San Francisco transportation, local shopping centers and schools. Zoned single-family residential","Proximity to unfavorable influences. Some poor, old homes adjoining to north and one colored family nearby","Executives, business and professionals","2,500 - 5,500",no concentration N/A,no N/A,lower grades: no,none,yes ,5 to 7-rm mod. Detached 1 & 2-story,stucco,5 years,very good,"5,500 - 6,500 6,000 45 - 60 58 1933-34 3,300 - 4,500 3,800 63% 30 - 40 35 53.50% 1937 4,000 - 8,000 5,500 92% 37.5 - 50 45 82% 1927 102% 1927 100+%",75%,99%,90%,good,"new 6-rm, 6,500",good,good,"mod. 6-rm, 45",fair,6-rm 1 & 1 1/2 story detached,"19 houses at 6,500 to 9,000",ample,ample,upward,"This district was first started as a subdivision with houses selling at that time around 5,500. There has been some building activity continually since, with present activity at maximum since 1908 (?). New homes are of better class, averaging 7,000 in value; several under construction and vacant blocks adjoining are being built up. Houses along Clay and Calhoun Streets are uniformly cheaper than others nearer water front. Alameda building inspectory stated these cheaper houses were over-financed and loans would bear watching.","Ralph E. Prentice, John F. Ward, Realtor; F.D. Courneed. V.P. Oakland Federal Saving and Loan Association; E. H. Rogers, Building Inspector, City of Alameda 6/15/2016 7"
East Bay,B45,NA,B,"Alameda, California High Blue B-45",Level,"Convenience to local and San Francisco transportation, schools and recreational areas. Homogeneous area of fine new and modern homes; restricted to Caucasian race; zoned single-family residential",Small size of area precents much further growth; distance to shopping areas,"Executives, professionals and business men","3,000 - 15,000",no concentration N/A,no N/A,lower grades: no,no,yes ,"detached, single-family fine homes",frame and stucco,7 years,excellent,"8,500 - 20,000 10,500 60 - 130 90 1933-34 5,000 - 10,000 6,750 64% 45 - 90 55 61% 1937 8,500 - 14,000 8,500 81% 55 - 100 70 78% 1927 102% 1927 100+%",85%,99%,95%,good,"6-rm home, 7,500",fair,good,"6-rm home, 67.50",poor,1 1/2 story detach,"32, at from 6,000 to 10,000",ample,ample,static,"Known as the Yernside (?) District. Was subdivided and practically built up in 1927 and 1928. There has been some building activity ever since, even during the depression. (10-c) Rental activity poor, as there is practically nothing available to rent. Most of the residents here commute to and work in San Francisco. Proximity to possible industrial area along estuary is all that keeps this district from being classed as Green.","John F. Ward, Realtor; E. H. Rogers, Building Inspector, City of Alameda; Ralph E. Prentice; F. D. Courneed, V.P. Oakland Federal Savings & Loan Association 6/15 7"
East Bay,B46,NA,B,"Alameda, California Blue B-46",Level,"Excellent climate, proximity to San Francisco Bay and recreational facilities, schools and local shopping area. Local and San Francisco transportation. Zoned single-family residential","Sprinkling of older type houses, though pleasing, show age of district.","Professional, executives and business men","2,500 - 5,000",no concentration N/A,no N/A,lower grades: no,none known, ,1 and 2-story detached homes,frame or stucco,18 years,good,"6,000 - 12,000 9,000 85 - 100 90 1933-34 3,500 - 7,500 5,000 55% 35 - 60 45 56+% 1937 4,250 - 8,500 5,750 64% 42.5 - 70 52.5 56% 1927 102% 1927 100+%",98%,99%,85%,fair,"6-rm home, 4,750",fair,good,"6-rm home, 45",good,"single-fam, detached","5 at from 6,000 to 7,500",ample,ample,static,"(7) Values have not greatly recovered in this area due to competition of newly built homes, selling on long term loans in other areas. There are real estate bargains to be had in this area and there should be further increase in sales prices. Area was originally known as Waterside Terrace, which name now has no significance","John F. Ward, Realtor, Alameda; E. H. Rogers, Building Inspector, City of Alameda; Ralph E. Prentice; F. D. Courneed, V.P. Oakland Federal Savings & Loan Association 6/15 7"
East Bay,C1,NA,C,"Albany, California Yellow C-1",Level,Schools and shopping center conveniently available. Transportation facilities excellent; low local taxes; strong community sentiment against infiltration of Negroes; none in city,"Subject to fog and winds. In 1932, racial restrictions expired over entire city of Albany. Infiltration of undesirables a possibility.","White-collar, artisans, city employees","1,200 - 1,800",various 20%,no N/A,one oriental family in southern part,very few,slowly ,single-family detached cottages,stucco and rustic,10 to 15 years,good,"3,000 - 4,000 3,500 30 - 40 35 1933-34 1,750 - 2,250 2,000 57% 17.5 - 22.5 20 57% 1937 2,000 - 3,000 2,500 71.50% 22.5 - 27.5 25 71% 1927 102% 1927 100+%",50%,98%,85%,fair,"5-rm single, 2,750",fair,good,"5-rm single, 25",fair,"5-rm single-family, 4,000 to 4,750",about 10 in 1936,fair,fair,slowly upward,"Prospect of improved transportation to San Francisco appeals to lower bracket classes. New construction will prove to be equalizing influence. Area zoned first residential east of Kains Avenue and second residential west of Kains Avenue. Little speculative building in this area. (7) The above average is for homes several years old. The newly constructed homes priced around 4,500 are few in comparison to the ones built before the depression, which are only considered in the average. This area could be classed High Yellow, with blocks which approach a Low Blue designation.","Lee Sutliff of the Sutliff Realty & Finance Company, Berkeley; City of Albany Building Department; Ralph E. Prentice 6/15 7"
East Bay,C2,NA,C,"Albany, California Low Yellow C-2",Slightly rolling; generally sloping toward Bay; 200 ft. hill in north center of area,On main highway to San Francisco Bridge. Good view property; low taxes,"Subject to fog and wind; tide marsh odors; distance from shopping centers, schools and street cars. Racial restrictions have expired over entire city of Albany (1932). Infiltration of Negroes and Orientals possibility.","Laborers, artisans, etc.","1,000 - 1,500",Various 15%,no N/A,undesirables: no,many,slowly ,cheap modern detached cottages,frame,8 to 10 years,fair,"1,250 - 3,000 2,750 22.5 - 27.5 25 1933-34 1,250 - 1,500 1,400 51% 12.5 - 17.5 15 60% 1937 1,600 - 2,250 2,000 77% 15 - 22.5 18 72% 1927 102% 1927 100+%",30%,98%,70%,poor,"5-rm single, 1,750 to 2,250",poor,poor,"5-rm single, 18 to 22.50",poor,"over-improvement: 4,500 to 7,000","2 homes, 1 duplex",limited,limited,Static with prospect of upward,"Prospect of improved transportation and favorable development of vacant unplatted track immediately adjoining, which is owned by the University of California, add to possibilities of area. Zoned second residential. In this area, however, are very few duplexes and no apartments. There has been recently completed a duplex at the northeast corner of Jackson and Solano, costing approximately 7,000 and a new stucco home at Taylor and Solano, offered for sale at 4,500 and rented at 40 per month; also another 4,500 home on Piero (?) Street. Local realtors state that these are all over-improvements and the public shows no interest in them at prices indicated. Along Cleveland Street, zoning is for Light Industrial. However, plans are now before City Council to rezone to second residential","Mrs. Raymond of Raymond & Shafer, Relators, Albany; City of Albany Building Department; Ralph E. Prentice 6/15 7"
East Bay,C3,NA,C,"Berkeley, California Low Yellow C-3",Level,"Convenience to local and San Francisco transportation, schools and local shopping center","Mixed type of inharmonious homes, old, semi-modern and modern. Zoned for multiple-family and stores","White-collar, salaries, artisans, tradesmen","1,200 - 1,800",latin races 10%,3 families N/A,oriental (threat),several: 1%,slowly ,detached homes and cottages,frame or stucco,15 (2 to 35) years,fair,"3,000 - 4,500 3,750 30 - 45 37.5 1933-34 2,000 - 2,850 2,400 64% 20 - 27.5 24 64% 1937 2,500 - 3,250 2,850 73.50% 25 - 30 27.5 74.50% 1927 102% 1927 100+%",85%,98%,85%,fair,"5-rm, 2,750",fair,fair,"5-rm, detach., 27.50",fair,"5-rm stucco, 4,000, including lot and financing",8 new homes in 1936,fair,fair,static,"(5-e) All of West Berkeley is threatened by infiltration of Orientals, who have no concentrated in a few blocks, but have scattered throughout. To date, however, they are of the better class, professional, etc. Recent survey showed three colored families and four Oriental families in the entire area. District known as Regents Park and is zoned for unlimited residential. There were no multiple units built here in 1936, however.","Harold W. Jewett, Sutliff Realty Company. City of Berkeley Building Department; Ralph E. Prentice 6/15 7"
East Bay,C4,NA,C,"Berkeley, California Yellow C-4",Level,"Convenience to local and San Francisco transportation; local shopping district, schools and University of California","Zoned for unlimited type residential; mixed older type and semi-modern homes, mostly two-story. Many homes showing age and lack of care. Threat of infiltration.","White-collar, salaried, artisans, tradesmen","1,200 - 2,000",Various 5%,threat 1/10%,orientals: serious threat,very few,slowly ,two-story homes,"frame, shingle, & stucco",20 (5 to 40) years,fair,"3,000 - 7,000 4,750 30 - 65 45 1933-34 2,000 - 4,500 3,000 63% 22.5 - 40 27.5 61% 1937 2,500 - 5,000 3,500 74% 37.5 - 45 35 78% 1927 102% 1927 100+%",95%,99%,75%,fair,"semi-modern, 6-rm frame 3,250; 2 flat home, 4,500",fair,good,"2-story home, 32.50",fair,"5-rm, 7,000",2 in 1936,limited,limited,downward for single-family residential,"(5-e) Infiltration survey made in 1935 showed ten Oriental families and one colored family in the entire area. These are better class, well-to-do families, however. Population increasing due to multiple units. Only one duplex built in 1936. This area gives evidence of developing into a medium class multi-family dwelling house district.",Harold W. Jewett; Sutliff Realty & Finance Company; City of Berkeley Building Department; Ralph E. Prentice 6/15 7
East Bay,C5,NA,C,"Berkeley, California High Yellow C-5","Level 75%; the southeastern section, next to University of California, characterized by moderately steep grades.","Convenient to local and San Francisco transportation, local shopping centers, schools, University of California.","Mixed type of homes: old, modern and new (heterogeneous). Slight infiltration of Orientals, such as Jap tailer and cleaning shop, Jap student rooming house, etc.","Professional, business me and white-collar class","1,500 - 3,000",latin and various 5%,no N/A,orientals: 6 families in 1935,very few,slowly ,single-family houses predominate,mixed: frame and stucco,18 (5 to 40) years,good: pride of ownership,"4,000 - 10,000 5,000 30 - 55 50 1933-34 2,250 - 4,500 3,000 60% 20 - 40 30 60% 1937 3,000 - 5,500 3,750 75% 25 - 45 37.5 75% 1927 102% 1927 100+%",80%,98%,50%,fair,"5 & 6-rm semi-mod., 4,000 to 4,5000",slow,N/A,"5 & 6-rm, 35",good,"large homes, 5,500 and 10,000",6 new homes 1936,fair,fair,static to downward for single-family residential,"(4) Many local parts of this area could be classified as Blue, except for above mentioned detrimental influences. (5-g) Increase of rooming houses near University of California and some new building action in eastern part of area, south of Cedar Street. Zoned second residential. Multiple unit dwellings built in 1935, xosting about 9,000 each, including lot. (5-e) Oriental families are widely scattered in this area; three families near University of California are students there. This area very closely related to University and indications are that student dwelling units and fraternity houses will become increasingly numerous.","Harold W. Jewett; Sutliff Realty & Finance Company, Berkeley; City of Berkeley Building Department; Ralph E. Prentice 6/15 7"
East Bay,C6,NA,C,"Berkeley, California Yellow C-6",Level,"Convenient local and San Francisco transportation; local shopping centers, schools, University of California","Mixed (heterogeneous) type of buildings (old homes prevail) rooming houses, fraternity and sorority houses, etc. Infiltration of wealthy Orientals and Oriental store keepers.","white-collar, salaried, artisans, tradesmen, rooming house keepers","1,200 - 2,500","latin, Nordic 5%","very few (trace, servant class) N/A",orientals: 5 families,very few, ,"(Large old homes, flats, rooming houses and palstial frat houses)","frame, shingle, stucco",25 (15 to 40) years,"various: good to fair, depending on quality of house","3,500 - 5,000 4,500 40 - 50 50 1933-34 3,250 - 3,000 2,750 61+% 25 - 40 32.5 65% 1937 2,500 - 3,750 3,500 78+% 30 - 45 37.5 75% 1927 102% 1927 100+%",95%,98%,50%,fair,"6-rm, semi-modern, 3,500",fair,limited,"6-rm, 35",good,"home, 5,000, apt. house, 17,000","1 house, 2 apt. houses",limited,limited,Static to downward for single-family residential,"(4) Student rooming houses for three blocks south of University. In eastern and southeastern part of area are located better class fraternity and apartment houses. (5-e) Above mentioned Oriental families are found in widely separated parts of the area near the business district. One is very wealthy Chinese, known as the ""Potato King of California."" A very superior person, an old resident whose family enjoy the respect of the neighborhood. Oriental residents of educated student class. (7) Values have not greatly recovered in the older area; neither did they decline as greatly in the outlying areas. Activity near University of California has always held values somewhat steady. (8-b) Entire area is zoned second and third class residential. Area is known as College Homestead Tract. It is closely associated with the life of the U; probably become more and more multi-unit student residential district.",Charles Gwynn; Charles Spencer; City of Berkeley Building Dept; Ralph E. Prentice 6/15 7
East Bay,C7,NA,C,"Berkeley, California Low Yellow C-7",Level,"Convenience to local and San Francisco transportation; local shopping district, schools, and University of California","Heterogeneous mixture of older homes and semi-modern bungalows with frame houses predominating. Zoned for unlimited residential, except about ten blocks in central part, which is zoned for two to four family dwellings.","Clerical, store keepers, service workers","1,500 - 2,000",orientals (see below) N/A,two families 1/10%,various,occasional,yes ,2-story homes predominate,"frame, shingle, and stucco",25 (mod. To 40) years,fair,"3,500 - 5,500 4,250 35 - 55 42.5 1933-34 2,000 - 3,000 2,500 59% 20 - 30 25 59% 1937 2,500 - 3,500 3,000 71% 25 - 35 30 71% 1927 102% 1927 100+%",95%,98%,70%,fair,"6-rm 2-story, 3,000",good,good,"6-rm home, 30",few good vacancies,"5 & 6-rm averaging 5,750",4 homes 1936,limited,limited,downward for single family residential,"A large part of this extensive area is known as the Blake Tract and is transversed by two main arteries of the city which are zoned for business; these constitute a detrimental influence insofar as single-family residences are concerned. While parts of this area contain fairly desirable residences which are well maintained, generally speaking, the area is made up of older houses, largely out-moded and only fairly maintained. At the time of the infiltration survery made in Berkeley in 1935, there were within the area twelve Oriental and two Negro families. There, however, were about the average of their races and were probably attracted to the district on account of its nearness to the U.",Ralph Spencer; City of Berkeley Suilding Department; Ralph E. Prentice 6/15 7
East Bay,C8,NA,C,"Emeryville, California High Yellow C-8",Level,"Convenience to local and San Francisco transportation, schools and local shopping district.","Surrounded by undesirable elements, proximity to factories.","shop & store-keepers, city officials, clerical & artisans","1,500 - 3,000",no concentration N/A,no N/A,"undesirables: no, but threat",practically none, ,1-story cottages predominate,"frame, shingle & stucco",22 years,good,"3,000 - 6,000 4,500 30 - 55 45 1933-34 2,000 - 4,000 2,750 61% 20 - 37.5 27.5 61% 1937 2,500 - 4,500 3,250 72% 25 - 40 32.5 72% 1927 102% 1927 100+%",90%,99%,90%,slow,"6-rm home, 3,250",slow,none,"6-rm home, 32.50",slow,5 and 6-rm home,practically none,limited,limited,static to downward,"The city of Emeryville, altho retaining its identity, is completely surrounded by the City of Oakland. It is principally a manufacturing town; its officials, however, must live in Emeryville. Therefore, they and other of the wealthier citizens have more or less restricted this little area of good and medium class houses; surrounded by cheaper residential section. Homes in this area generally show pride of ownership. This is an unusual area and with better surroundings, would deserve a higher grading.","James C. Stayford, R. S. Holly, Building Inspector, City of Emeryville; Ralph E. Prentice 6/15 7"
East Bay,C9,NA,C,"Oakland, California Yellow C-9",Level,"Convenience to local and San Francisco transportation, school and local shopping districts. Good climatic conditions.",Older type homes and cottages of many types (inharmonious). Infiltration of undesirables.,"Clerks, artisans, shopkeepers","1,000 - 2,500",latin races 10%,yes (very few) 1/4%,orientals and some negroes,occasional, ,older type detached cottages & 2-story,frame & shingle prevail,25 years,fair,"2,500 - 5,000 3,750 25 - 45 35 1933-34 1,800 - 3,500 2,350 63% 20 - 30 22.5 64% 1937 2,250 - 4,000 2,750 74% 22.5 - 35 27.5 79% 1927 102% 1927 100+%",95%,99%,80%,fair,"6-rm, 3,000",fair,good,"6-rm, 27.50",fair,"bungalow, costing approximately 5,000 including lot and financing",1 home in 1936,limited,limited,static to downward,"Known as the Temescal District. (5-c) Within this area is both Red and Blue areas between Shattuck and Howell is area D5, reflecting a concentration of a number of Negro families. Four or five blocks further south is area B-10, which represents a very superior concentration of single-family residents. There are two or three other minor infiltrations of undesirable racial elemts which are widely separated, and are locally not considered serious. (5-g) Tendency toward multiple units and partly so zoned; this eventually increase population.","Ralph Spencer, City of Oakland, Records of Building Inspector, Ralph E. Prentice. 6/15 7"
