site_id,site_name,site_address,city,zip_code,enf_action_date,enf_action_type,enf_action_description,enf_action_notes,enf_action_division,enf_action_program,enf_action_source
193026,AMERICAN ENVIRONMENTAL LLC,3033 W MISSION RD,ALHAMBRA,918030000,1999-04-27,Final Civil / Judicial Action,Final Civil / Judicial Action,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
193026,AMERICAN ENVIRONMENTAL LLC,3033 W MISSION RD,ALHAMBRA,918030000,2006-01-11,Final Civil / Judicial Action,Final Civil / Judicial Action,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
205547,ARTESIAN OIL RECOVERY INC,2306 MAGNOLIA ST,OAKLAND,946072309,2000-04-07,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
205547,ARTESIAN OIL RECOVERY INC,2306 MAGNOLIA ST,OAKLAND,946072309,2001-09-12,Enforcement Order Issued,Enforcement Order Issued,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
205547,ARTESIAN OIL RECOVERY INC,2306 MAGNOLIA ST,OAKLAND,946072309,2001-12-07,Final Administrative Settlement,Final Administrative Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
217419,DEPARTMENT OF TOXIC SUBSTANCES CONTROL,989 89TH AVE,OAKLAND,946030000,1999-03-08,Enforcement Order Issued,Enforcement Order Issued,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
217419,DEPARTMENT OF TOXIC SUBSTANCES CONTROL,989 89TH AVE,OAKLAND,946030000,1999-03-08,Final Administrative Settlement,Final Administrative Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
217941,SAFETY-KLEEN,400 MARKET ST,OAKLAND,946070000,2003-04-07,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
227118,LAWRENCE BERKELEY NATIONAL LABORATORY,1 CYCLOTRON RD,BERKELEY,947200000,2007-03-13,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
237227,FORMER TECHNICHEM INC,4245 HALLECK ST,EMERYVILLE,946080000,2000-06-02,Initial Civil Filing with Attorney General,Initial Civil Filing with Attorney General,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
237227,FORMER TECHNICHEM INC,4245 HALLECK ST,EMERYVILLE,946080000,2000-06-28,Injunctive Relief,Injunctive Relief,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
237227,FORMER TECHNICHEM INC,4245 HALLECK ST,EMERYVILLE,946080000,2003-12-17,Final Civil / Judicial Action,Final Civil / Judicial Action,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
237939,GLENCORE RECYCLING LLC,1695 MONTEREY HWY,SAN JOSE,951120000,2008-06-13,Enforcement Order Issued,Enforcement Order Issued,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
237939,GLENCORE RECYCLING LLC,1695 MONTEREY HWY,SAN JOSE,951120000,2009-03-23,Final Administrative Settlement,Final Administrative Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
253130,DEMENNO/KERDOON,2000 N ALAMEDA ST,COMPTON,902220000,1998-08-07,Enforcement Order Issued,Enforcement Order Issued,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
253130,DEMENNO/KERDOON,2000 N ALAMEDA ST,COMPTON,902220000,1999-06-28,Final Administrative Settlement,Final Administrative Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
253130,DEMENNO/KERDOON,2000 N ALAMEDA ST,COMPTON,902220000,2004-08-23,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
253130,DEMENNO/KERDOON,2000 N ALAMEDA ST,COMPTON,902220000,2005-11-21,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
253130,DEMENNO/KERDOON,2000 N ALAMEDA ST,COMPTON,902220000,2006-03-24,Federal Consent Order with Enforcement and Settlement,Federal Consent Order with Enforcement and Settlement,,Department of Toxic Substances Control,DTSC_ENF,ENVSTORHAZ
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2008-03-21,Oral Communication,Oral Communication,,Water Boards,SSOMUNISML,CIWQS
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2010-07-01,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2017-01-12,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
261930,Anthony Chabot Regional Park CS,2950 PERALTA,OAKLAND,94605,2019-07-09,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263100,Chollas Creek BMP Retrofit Project-Phase II,,NATIONAL CITY,,2016-05-16,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
263442,County Service Area 15 CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263443,County Service Area 31 CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263444,County Service Area 44 Zone E CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263445,County Service Area 44 Zone G CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263532,CSU Los Angeles CS,5151 STATE UNIVERSITY,LOS ANGELES,96032,2010-07-20,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263553,Culver City CS,9770 CULVER,CULVER CITY,90232,2010-09-30,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,SSOMUNILRG,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2008-03-21,Oral Communication,Oral Communication,,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2009-10-08,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2010-07-01,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2017-01-12,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263673,Del Valle Regional Park CS,2950 PERALTA,OAKLAND,94605,2019-07-09,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
263993,Ebmud CS,P.O. BOX 24055,OAKLAND,94623,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
263993,Ebmud CS,P.O. BOX 24055,OAKLAND,94623,2011-05-12,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,SSOMUNISML,CIWQS
263993,Ebmud CS,P.O. BOX 24055,OAKLAND,94623,2014-09-22,Settlement - Court Order,Settlement - Court Order,,Water Boards,SSOMUNISML,CIWQS
263993,Ebmud CS,P.O. BOX 24055,OAKLAND,94623,2017-08-14,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
264136,Emeryville City CS,1333 PARK,EMERYVILLE,94608,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
264136,Emeryville City CS,1333 PARK,EMERYVILLE,94608,2008-03-20,Oral Communication,Oral Communication,,Water Boards,SSOMUNISML,CIWQS
264136,Emeryville City CS,1333 PARK,EMERYVILLE,94608,2014-09-22,Settlement - Court Order,Settlement - Court Order,,Water Boards,SSOMUNISML,CIWQS
264728,Gardena City CS,1700 162ND,GARDENA,90247,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNILRG,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2008-03-21,Oral Communication,Oral Communication,,Water Boards,SSOMUNISML,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2010-07-01,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2017-01-12,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
264732,Garin Regional Park CS,2950 PERALTA,OAKLAND,94605,2019-07-09,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
265133,"Hermosa Beach City - Mun Separate Storm Sewer, MS4",1315 VALLEY,HERMOSA BEACH,90254,2008-03-04,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
265134,Hermosa Beach City CS,1315 VALLEY,HERMOSA BEACH,90254,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
265412,Inglewood City CS,1 MANCHESTER,INGLEWOOD,90301,2015-07-23,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNILRG,CIWQS
266038,Lincoln Village Maintenance District CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
266523,Maywood City CS,4319 SLAUSON,MAYWOOD,90270,2010-07-20,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
266523,Maywood City CS,4319 SLAUSON,MAYWOOD,90270,2013-03-28,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,SSOMUNISML,CIWQS
266523,Maywood City CS,4319 SLAUSON,MAYWOOD,90270,2016-10-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
266523,Maywood City CS,4319 SLAUSON,MAYWOOD,90270,2016-11-15,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
266844,Monterey Park City CS,320 NEWMARK,MONTEREY PARK,91754,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNILRG,CIWQS
267344,Pacific Gardens Sanitary District CS,1702 SCOTTS,STOCKTON,95205,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
267410,Palos Verdes Estates City CS,340 PALOS VERDES,PALOS VERDES ESTATES,90274,2012-03-29,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNILRG,CIWQS
267609,Piedmont City CS,120 VISTA,PIEDMONT,94611,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
267609,Piedmont City CS,120 VISTA,PIEDMONT,94611,2008-03-20,Oral Communication,Oral Communication,,Water Boards,SSOMUNISML,CIWQS
267609,Piedmont City CS,120 VISTA,PIEDMONT,94611,2014-09-22,Settlement - Court Order,Settlement - Court Order,,Water Boards,SSOMUNISML,CIWQS
268538,San Jose State University CS,1 WASHINGTON SQUARE,SAN JOSE,95192,2004-12-01,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNISML,CIWQS
268538,San Jose State University CS,1 WASHINGTON SQUARE,SAN JOSE,95192,2012-04-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
268538,San Jose State University CS,1 WASHINGTON SQUARE,SAN JOSE,95192,2017-01-11,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
268538,San Jose State University CS,1 WASHINGTON SQUARE,SAN JOSE,95192,2017-09-21,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
270650,Unincorporated County Area CSMD South/County Sanitation District CS,900 FREMONT,ALHAMBRA,91803,2011-05-12,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,SSOMUNILRG,CIWQS
272826,CHRISTIAN BROTHERS HIGH SCHOOL,4315 MARTIN LUTHER KING JR BLVD,SACRAMENTO,95820,2015-04-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
272826,CHRISTIAN BROTHERS HIGH SCHOOL,4315 MARTIN LUTHER KING JR BLVD,SACRAMENTO,95820,2015-04-17,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
273473,SAFE & SAVE CLEANERS,4751 J ST,SACRAMENTO,95819,2015-10-16,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
273625,turning wrenches auto repair,1018 64TH ST,SACRAMENTO,95819,2015-10-02,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HW,CERS
274335,Glassybaby LLC,745 HEINZ AVE,BERKELEY,94710,2017-04-05,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,FAILURE TO SUBMIT AN ELECTRONIC HAZARDOUS MATERIALS BUSINESS  PLAN (HMBP) BY MARCH 1ST.,Berkeley City Toxics Management Division,HMRRP,CERS
274335,Glassybaby LLC,745 HEINZ AVE,BERKELEY,94710,2017-05-08,AEO - Unified Program,Administrative Enforcement Order Based on the Unified Program Statute,,Berkeley City Toxics Management Division,HMRRP,CERS
275891,Crocker Art Museum,216 O ST,SACRAMENTO,95814,2015-12-29,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
276549,Linacia Pharmacy,420 W ACACIA ST,STOCKTON,95203,2015-03-31,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HW,CERS
277193,DEPARTMENT OF REHABILITATION,721 CAPITOL MALL,SACRAMENTO,95814,2015-07-09,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
277195,EDD,800 CAPITOL MALL,SACRAMENTO,95814,2016-03-28,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Sacramento County Env Management Department,HMRRP,CERS
277333,lakeshore 76,3220 LAKESHORE AVE,OAKLAND,94610,2016-07-21,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
277333,lakeshore 76,3220 LAKESHORE AVE,OAKLAND,94610,2017-12-14,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,HMRRP,CERS
277333,lakeshore 76,3220 LAKESHORE AVE,OAKLAND,94610,2019-10-31,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,Alameda County Environmental Health,UST,CERS
277655,"GRADUATE, THE",2207 COUNTRY CLUB BLVD,STOCKTON,95204,2015-06-03,Notice of Violation (Unified Program),Notice of Violation Issued by the Inspector at the Time of Inspection,,San Joaquin County Environmental Health,HMRRP,CERS
306739,5670 Wilshire Blvd. Property,5670 WILSHIRE,LOS ANGELES,90036,2000-07-19,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1988-06-30,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1988-12-01,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1989-02-02,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1990-03-12,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1991-12-09,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1993-06-20,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1993-12-20,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1994-11-10,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,1999-12-21,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,2000-03-06,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,2000-05-31,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
313481,"Driscoll's West Boatyard, previously Kettenburg Marine Corporation",2700 SHELTER ISLAND,SAN DIEGO,92106,2000-10-03,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
314992,Former Old Five Inc.,17321 CLARK,BELLFLOWER,90706,2001-04-09,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
315712,Glen Echo Creek Flood Control,1.5 BLOCK EAST OF BROADWAY AT 29TH,OAKLAND,94607,2002-02-15,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
317013,Hende's Station,2990 PACIFIC,LONG BEACH,90806,2000-09-19,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
325549,Route 15/40th St Project,3909 ADAMS,SAN DIEGO,92116,2000-04-19,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
346353,Fiesta Island Sludge Dryng Fac,FIESTA ISLAND,SAN DIEGO,92109,1986-12-08,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,1996-01-26,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,1998-03-04,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,1999-05-12,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,1999-07-20,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,2000-01-12,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
347547,Segments 2B & 3 Construction,GREATER LOS ANGELES,LOS ANGELES,90017,2000-05-30,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
347666,South Pasadena City CS,1414 MISSION,SOUTH PASADENA,91030,2010-06-29,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,SSOMUNISML,CIWQS
347666,South Pasadena City CS,1414 MISSION,SOUTH PASADENA,91030,2012-01-17,Settlement - Court Order,Settlement - Court Order,,Water Boards,SSOMUNISML,CIWQS
347719,Stockton Food Processing,2900 HARDING,STOCKTON,95201,2000-11-06,Enforcement Letter (Formal),Enforcement Letter Citing Violations and with Required Actions (Formal),,Water Boards,UNSPEC,CIWQS
348174,10350 Santa Monica,10350 SANTA MONICA,LOS ANGELES,90025,2008-10-10,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
348174,10350 Santa Monica,10350 SANTA MONICA,LOS ANGELES,90025,2018-01-12,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
348174,10350 Santa Monica,10350 SANTA MONICA,LOS ANGELES,90025,2018-07-30,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
348181,"1098 S. 5th St, San Jose - Former Ancewicz",1098 S 5TH,SAN JOSE,95112,2007-05-31,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
348185,110-105 Freeway Interchange Storm Water Management Project,110-105 FREEWAY INTERCHANGE,LOS ANGELES,91769,2008-12-02,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2008-05-16,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2013-11-19,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2014-10-24,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2015-10-21,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2018-01-31,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2018-09-25,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348201,"Hudson 11601 Wilshire, LLC",11601 WILSHIRE,LOS ANGELES,90025,2019-05-28,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348213,12100 Wilshire Blvd,12100 WILSHIRE,LOS ANGELES,90025,2001-01-29,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,UNSPEC,CIWQS
348213,12100 Wilshire Blvd,12100 WILSHIRE,LOS ANGELES,90025,2001-03-09,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,UNSPEC,CIWQS
348224,"1450 Sherwin, Sherwn-Wlms Site",1450 SHERWIN,EMERYVILLE,94608,1997-04-07,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
348224,"1450 Sherwin, Sherwn-Wlms Site",1450 SHERWIN,EMERYVILLE,94608,1998-02-18,Clean-up and Abatement Order,Clean-up and Abatement Order,,Water Boards,UNSPEC,CIWQS
348232,150 El Camino Drive Office Building,150 EL CAMINO,BEVERLY HILLS,90212,2008-10-15,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,NPDNONMUNI,CIWQS
348232,150 El Camino Drive Office Building,150 EL CAMINO,BEVERLY HILLS,90212,2010-08-03,Expedited Payment Letter,Expedited Payment Letter where the Discharger Acknowledges Violations,,Water Boards,NPDNONMUNI,CIWQS
348232,150 El Camino Drive Office Building,150 EL CAMINO,BEVERLY HILLS,90212,2013-11-12,Notice of Violation (Water),Notice of Violation Letter (Informal),,Water Boards,NPDNONMUNI,CIWQS
348232,150 El Camino Drive Office Building,150 EL CAMINO,BEVERLY HILLS,90212,2016-01-20,Administrative Enforcement with Penality,Administrative Enforcement with Civil Liability (Penality),,Water Boards,NPDNONMUNI,CIWQS
348232,150 El Camino Drive Office Building,150 EL CAMINO,BEVERLY HILLS,90212,2017-03-06,Expedited Payment Letter,Expedited Payment Letter where the Discharger Acknowledges Violations,,Water Boards,NPDNONMUNI,CIWQS
348308,Rotten Robbie No. 39,25 WASHINGTON,SANTA CLARA,95050,2013-02-27,Oral Communication,Oral Communication,,Water Boards,UNSPEC,CIWQS
348308,Rotten Robbie No. 39,25 WASHINGTON,SANTA CLARA,95050,2014-02-10,Oral Communication,Oral Communication,,Water Boards,UNSPEC,CIWQS
348349,328 Cloverdale Apartments,328 CLOVERDALE,LOS ANGELES,90036,2000-02-22,Staff Enforcement Letter (Informal),Staff Enforcement Letter (Informal),,Water Boards,UNSPEC,CIWQS
